sender,receiver,n_txns,total_amount,mean_amount,max_amount,n_laundering_txns,is_laundering_edge,lifespan_days,first_time,last_time
ACC001397,ACC000226,1,123000.0,123000.0,123000.0,0,0,0.0,2025-01-06 09:02:59,2025-01-06 09:02:59
ACC000062,ACC001010,1,30886.17,30886.17,30886.17,0,0,0.0,2025-01-06 09:03:24,2025-01-06 09:03:24
ACC001249,ACC000027,1,549.35,549.35,549.35,0,0,0.0,2025-01-06 09:04:51,2025-01-06 09:04:51
ACC000202,ACC000699,1,74742.47,74742.47,74742.47,0,0,0.0,2025-01-06 09:05:04,2025-01-06 09:05:04
ACC000719,ACC001477,1,11461.22,11461.22,11461.22,0,0,0.0,2025-01-06 09:05:38,2025-01-06 09:05:38
ACC000399,ACC001206,1,1019000.0,1019000.0,1019000.0,0,0,0.0,2025-01-06 09:05:56,2025-01-06 09:05:56
ACC000924,ACC001328,4,13338.49,3334.62,7360.39,0,0,24.286,2025-01-06 09:06:31,2025-01-30 15:57:57
ACC000775,ACC001407,2,62726.19,31363.1,57692.36,0,0,9.226,2025-01-06 09:06:44,2025-01-15 14:31:45
ACC000085,ACC000277,1,4040.0,4040.0,4040.0,0,0,0.0,2025-01-06 09:07:30,2025-01-06 09:07:30
ACC000627,ACC000158,4,30933.4,7733.35,10935.83,0,0,16.308,2025-01-06 09:08:43,2025-01-22 16:31:40
ACC000066,ACC000995,2,63641.77,31820.88,62566.24,0,0,24.327,2025-01-06 09:09:55,2025-01-30 17:01:11
ACC001427,ACC000802,1,1950.0,1950.0,1950.0,0,0,0.0,2025-01-06 09:10:23,2025-01-06 09:10:23
ACC000596,ACC001147,1,69100.28,69100.28,69100.28,0,0,0.0,2025-01-06 09:11:11,2025-01-06 09:11:11
ACC001153,ACC000967,6,2339018.71,389836.45,869000.0,0,0,18.306,2025-01-06 09:11:41,2025-01-24 16:32:50
ACC000686,ACC000039,1,2264.9,2264.9,2264.9,0,0,0.0,2025-01-06 09:11:52,2025-01-06 09:11:52
ACC000388,ACC001466,2,3205.06,1602.53,2870.93,0,0,23.27,2025-01-06 09:12:22,2025-01-29 15:40:40
ACC000082,ACC000522,1,160000.0,160000.0,160000.0,0,0,0.0,2025-01-06 09:12:23,2025-01-06 09:12:23
ACC001485,ACC001273,1,26300.0,26300.0,26300.0,0,0,0.0,2025-01-06 09:12:27,2025-01-06 09:12:27
ACC000813,ACC000284,2,2118.51,1059.26,2058.51,0,0,5.995,2025-01-06 09:12:37,2025-01-12 09:05:05
ACC001133,ACC001417,1,4547.51,4547.51,4547.51,0,0,0.0,2025-01-06 09:14:18,2025-01-06 09:14:18
ACC000671,ACC001016,1,224190.67,224190.67,224190.67,0,0,0.0,2025-01-06 09:15:23,2025-01-06 09:15:23
ACC001083,ACC001254,1,59203.74,59203.74,59203.74,0,0,0.0,2025-01-06 09:15:50,2025-01-06 09:15:50
ACC000297,ACC001305,1,7780.43,7780.43,7780.43,0,0,0.0,2025-01-06 09:17:03,2025-01-06 09:17:03
ACC000291,ACC000269,12,11498.69,958.22,3720.0,0,0,21.238,2025-01-06 09:18:23,2025-01-27 15:00:28
ACC000289,ACC001098,2,9157.0,4578.5,8387.0,0,0,10.367,2025-01-06 09:19:26,2025-01-16 18:07:52
ACC000168,ACC000589,1,640.0,640.0,640.0,0,0,0.0,2025-01-06 09:21:53,2025-01-06 09:21:53
ACC001229,ACC001121,1,50219.15,50219.15,50219.15,0,0,0.0,2025-01-06 09:22:46,2025-01-06 09:22:46
ACC000726,ACC000114,4,33920.27,8480.07,22700.0,0,0,23.298,2025-01-06 09:24:08,2025-01-29 16:33:47
ACC001209,ACC001155,8,61974.92,7746.86,13526.59,0,0,23.911,2025-01-06 09:25:41,2025-01-30 07:17:34
ACC001062,ACC000230,1,792.64,792.64,792.64,0,0,0.0,2025-01-06 09:25:44,2025-01-06 09:25:44
ACC001171,ACC000148,1,6900.0,6900.0,6900.0,0,0,0.0,2025-01-06 09:26:22,2025-01-06 09:26:22
ACC000590,ACC000714,3,2096.51,698.84,1060.18,0,0,23.126,2025-01-06 09:27:13,2025-01-29 12:28:48
ACC000296,ACC000327,4,29307.68,7326.92,19638.06,0,0,18.364,2025-01-06 09:28:07,2025-01-24 18:11:41
ACC000089,ACC000947,1,204000.0,204000.0,204000.0,0,0,0.0,2025-01-06 09:28:18,2025-01-06 09:28:18
ACC001435,ACC000151,3,50589.94,16863.31,22400.0,0,0,24.097,2025-01-06 09:28:59,2025-01-30 11:47:57
ACC000075,ACC001287,1,424000.0,424000.0,424000.0,0,0,0.0,2025-01-06 09:30:11,2025-01-06 09:30:11
ACC001081,ACC000518,1,1120.0,1120.0,1120.0,0,0,0.0,2025-01-06 09:30:15,2025-01-06 09:30:15
ACC000710,ACC000722,1,1337.96,1337.96,1337.96,0,0,0.0,2025-01-06 09:31:11,2025-01-06 09:31:11
ACC001479,ACC000760,2,12684.76,6342.38,6484.76,0,0,3.906,2025-01-06 09:31:59,2025-01-10 07:16:55
ACC000434,ACC000583,1,181000.0,181000.0,181000.0,0,0,0.0,2025-01-06 09:33:15,2025-01-06 09:33:15
ACC000114,ACC000042,1,2210.0,2210.0,2210.0,0,0,0.0,2025-01-06 09:38:29,2025-01-06 09:38:29
ACC001435,ACC000762,2,36400.0,18200.0,29600.0,0,0,20.441,2025-01-06 09:38:32,2025-01-26 20:13:04
ACC001164,ACC001178,1,1020.0,1020.0,1020.0,0,0,0.0,2025-01-06 09:41:13,2025-01-06 09:41:13
ACC001068,ACC000500,2,4917.56,2458.78,3837.56,0,0,2.313,2025-01-06 09:44:08,2025-01-08 17:15:11
ACC000647,ACC001413,2,2242.5,1121.25,1512.5,0,0,24.094,2025-01-06 09:44:30,2025-01-30 12:00:18
ACC001453,ACC001123,8,142552.2,17819.03,32429.8,0,0,21.79,2025-01-06 09:46:37,2025-01-28 04:44:33
ACC000671,ACC000246,9,4975331.22,552814.58,1923323.04,0,0,20.216,2025-01-06 09:50:47,2025-01-26 15:01:17
ACC000076,ACC000051,1,130763.87,130763.87,130763.87,0,0,0.0,2025-01-06 09:51:05,2025-01-06 09:51:05
ACC000849,ACC001324,1,58000.0,58000.0,58000.0,0,0,0.0,2025-01-06 09:51:23,2025-01-06 09:51:23
ACC000333,ACC001315,1,83000.0,83000.0,83000.0,0,0,0.0,2025-01-06 09:53:00,2025-01-06 09:53:00
ACC000366,ACC000756,1,164458.18,164458.18,164458.18,0,0,0.0,2025-01-06 09:53:47,2025-01-06 09:53:47
ACC000630,ACC000266,4,163619.13,40904.78,96000.0,0,0,24.237,2025-01-06 09:53:47,2025-01-30 15:34:36
ACC001115,ACC000523,1,3622.6,3622.6,3622.6,0,0,0.0,2025-01-06 09:53:51,2025-01-06 09:53:51
ACC001395,ACC001121,1,121000.0,121000.0,121000.0,0,0,0.0,2025-01-06 09:54:29,2025-01-06 09:54:29
ACC000367,ACC001122,1,29790.88,29790.88,29790.88,0,0,0.0,2025-01-06 09:57:01,2025-01-06 09:57:01
ACC001259,ACC001126,1,72000.0,72000.0,72000.0,0,0,0.0,2025-01-06 09:57:57,2025-01-06 09:57:57
ACC000819,ACC000891,1,102614.23,102614.23,102614.23,0,0,0.0,2025-01-06 10:02:39,2025-01-06 10:02:39
ACC001309,ACC000008,1,670.0,670.0,670.0,0,0,0.0,2025-01-06 10:04:04,2025-01-06 10:04:04
ACC000758,ACC000022,1,26959.36,26959.36,26959.36,0,0,0.0,2025-01-06 10:05:13,2025-01-06 10:05:13
ACC000466,ACC000436,1,9919.83,9919.83,9919.83,0,0,0.0,2025-01-06 10:05:25,2025-01-06 10:05:25
ACC000385,ACC001209,4,18661.9,4665.48,13415.94,0,0,15.531,2025-01-06 10:05:32,2025-01-21 22:49:36
ACC001133,ACC000148,1,1037.66,1037.66,1037.66,0,0,0.0,2025-01-06 10:05:36,2025-01-06 10:05:36
ACC001278,ACC001354,2,126676.64,63338.32,80103.32,0,0,3.396,2025-01-06 10:05:52,2025-01-09 19:36:14
ACC000718,ACC000681,1,35730.18,35730.18,35730.18,0,0,0.0,2025-01-06 10:05:56,2025-01-06 10:05:56
ACC000146,ACC000196,6,2010641.78,335106.96,785000.0,0,0,20.313,2025-01-06 10:06:03,2025-01-26 17:36:25
ACC000082,ACC001080,2,32309368.28,16154684.14,32074046.82,0,0,22.674,2025-01-06 10:09:13,2025-01-29 02:19:44
ACC000858,ACC000280,3,2206.61,735.54,1167.27,0,0,20.498,2025-01-06 10:09:23,2025-01-26 22:05:56
ACC000036,ACC000254,1,111000.0,111000.0,111000.0,0,0,0.0,2025-01-06 10:09:53,2025-01-06 10:09:53
ACC000290,ACC001072,2,1111350.46,555675.23,772000.0,0,0,4.275,2025-01-06 10:10:21,2025-01-10 16:46:29
ACC000076,ACC000339,1,160361.46,160361.46,160361.46,0,0,0.0,2025-01-06 10:10:32,2025-01-06 10:10:32
ACC000099,ACC001111,1,440.0,440.0,440.0,0,0,0.0,2025-01-06 10:10:45,2025-01-06 10:10:45
ACC000424,ACC000243,1,8100.0,8100.0,8100.0,0,0,0.0,2025-01-06 10:10:51,2025-01-06 10:10:51
ACC000543,ACC000284,3,77732.08,25910.69,31500.0,0,0,23.924,2025-01-06 10:11:06,2025-01-30 08:21:11
ACC000771,ACC001300,10,51750.68,5175.07,24300.0,0,0,22.93,2025-01-06 10:11:55,2025-01-29 08:31:03
ACC001409,ACC000141,2,40840.16,20420.08,28240.16,0,0,7.785,2025-01-06 10:14:22,2025-01-14 05:05:28
ACC000161,ACC001362,1,792.24,792.24,792.24,0,0,0.0,2025-01-06 10:15:03,2025-01-06 10:15:03
ACC000732,ACC000595,1,1065206.35,1065206.35,1065206.35,0,0,0.0,2025-01-06 10:18:08,2025-01-06 10:18:08
ACC001481,ACC000050,1,4848.97,4848.97,4848.97,0,0,0.0,2025-01-06 10:18:08,2025-01-06 10:18:08
ACC001041,ACC000062,4,3267.48,816.87,1314.98,0,0,23.506,2025-01-06 10:19:21,2025-01-29 22:28:22
ACC000767,ACC001276,1,1591.83,1591.83,1591.83,0,0,0.0,2025-01-06 10:21:11,2025-01-06 10:21:11
ACC000508,ACC001466,5,57015.3,11403.06,41219.15,0,0,23.051,2025-01-06 10:21:38,2025-01-29 11:34:36
ACC000014,ACC000627,1,13260.29,13260.29,13260.29,0,0,0.0,2025-01-06 10:23:44,2025-01-06 10:23:44
ACC000705,ACC001329,1,214000.0,214000.0,214000.0,0,0,0.0,2025-01-06 10:24:45,2025-01-06 10:24:45
ACC000735,ACC001039,1,1958.13,1958.13,1958.13,0,0,0.0,2025-01-06 10:25:27,2025-01-06 10:25:27
ACC000994,ACC001213,2,3555.44,1777.72,3075.44,0,0,4.431,2025-01-06 10:25:30,2025-01-10 20:46:10
ACC000569,ACC001021,3,3912.05,1304.02,2959.09,0,0,21.402,2025-01-06 10:26:15,2025-01-27 20:05:37
ACC001031,ACC000442,2,11557.97,5778.98,6849.64,0,0,9.957,2025-01-06 10:26:49,2025-01-16 09:25:14
ACC000603,ACC000164,2,1986.24,993.12,1750.9,0,0,0.919,2025-01-06 10:26:54,2025-01-07 08:30:33
ACC001233,ACC000302,1,177251.38,177251.38,177251.38,0,0,0.0,2025-01-06 10:28:21,2025-01-06 10:28:21
ACC000865,ACC000168,1,122795.2,122795.2,122795.2,0,0,0.0,2025-01-06 10:29:06,2025-01-06 10:29:06
ACC000145,ACC000713,1,388694.5,388694.5,388694.5,0,0,0.0,2025-01-06 10:29:42,2025-01-06 10:29:42
ACC000325,ACC001144,1,188722.45,188722.45,188722.45,0,0,0.0,2025-01-06 10:31:03,2025-01-06 10:31:03
ACC001341,ACC000042,8,190103.81,23762.98,80000.0,0,0,23.169,2025-01-06 10:31:37,2025-01-29 14:34:19
ACC000589,ACC001249,1,30633.85,30633.85,30633.85,0,0,0.0,2025-01-06 10:31:51,2025-01-06 10:31:51
ACC001080,ACC001339,1,32085.26,32085.26,32085.26,0,0,0.0,2025-01-06 10:32:57,2025-01-06 10:32:57
ACC001495,ACC000518,5,44597.18,8919.44,32100.0,0,0,22.564,2025-01-06 10:34:40,2025-01-29 00:06:33
ACC001233,ACC000726,5,27609.35,5521.87,11565.31,0,0,22.995,2025-01-06 10:35:07,2025-01-29 10:27:45
ACC000402,ACC001432,1,9200.0,9200.0,9200.0,0,0,0.0,2025-01-06 10:35:55,2025-01-06 10:35:55
ACC001127,ACC000556,3,5676.16,1892.05,3136.16,0,0,16.434,2025-01-06 10:36:09,2025-01-22 21:01:23
ACC000431,ACC001081,1,1014.46,1014.46,1014.46,0,0,0.0,2025-01-06 10:36:18,2025-01-06 10:36:18
ACC000659,ACC000257,1,147500.4,147500.4,147500.4,0,0,0.0,2025-01-06 10:37:19,2025-01-06 10:37:19
ACC000822,ACC001362,1,6153.74,6153.74,6153.74,0,0,0.0,2025-01-06 10:37:32,2025-01-06 10:37:32
ACC001477,ACC000245,1,2293.57,2293.57,2293.57,0,0,0.0,2025-01-06 10:38:38,2025-01-06 10:38:38
ACC000429,ACC000701,6,9536.27,1589.38,4083.96,0,0,24.39,2025-01-06 10:39:04,2025-01-30 20:00:51
ACC000187,ACC001130,4,3183098.88,795774.72,2727646.74,0,0,8.254,2025-01-06 10:39:39,2025-01-14 16:44:47
ACC000442,ACC000888,1,170000.0,170000.0,170000.0,0,0,0.0,2025-01-06 10:39:40,2025-01-06 10:39:40
ACC000094,ACC001387,1,20736.1,20736.1,20736.1,0,0,0.0,2025-01-06 10:39:44,2025-01-06 10:39:44
ACC000181,ACC001470,1,923.22,923.22,923.22,0,0,0.0,2025-01-06 10:39:51,2025-01-06 10:39:51
ACC000543,ACC001010,2,86606.9,43303.45,51706.9,0,0,24.297,2025-01-06 10:41:34,2025-01-30 17:48:33
ACC000656,ACC001123,1,233000.0,233000.0,233000.0,0,0,0.0,2025-01-06 10:42:04,2025-01-06 10:42:04
ACC000936,ACC000050,1,792.71,792.71,792.71,0,0,0.0,2025-01-06 10:43:18,2025-01-06 10:43:18
ACC000368,ACC000172,1,13247.03,13247.03,13247.03,0,0,0.0,2025-01-06 10:43:33,2025-01-06 10:43:33
ACC000951,ACC000462,1,71000.0,71000.0,71000.0,0,0,0.0,2025-01-06 10:45:10,2025-01-06 10:45:10
ACC000268,ACC000244,14,39516.32,2822.59,12061.69,0,0,22.304,2025-01-06 10:45:14,2025-01-28 18:02:23
ACC000443,ACC001254,1,3530.0,3530.0,3530.0,0,0,0.0,2025-01-06 10:46:28,2025-01-06 10:46:28
ACC000529,ACC000940,2,518.58,259.29,400.0,0,0,8.95,2025-01-06 10:46:50,2025-01-15 09:34:14
ACC001032,ACC000714,1,156000.0,156000.0,156000.0,0,0,0.0,2025-01-06 10:46:50,2025-01-06 10:46:50
ACC000430,ACC000039,1,197000.0,197000.0,197000.0,0,0,0.0,2025-01-06 10:48:00,2025-01-06 10:48:00
ACC001484,ACC000008,1,80.0,80.0,80.0,0,0,0.0,2025-01-06 10:48:54,2025-01-06 10:48:54
ACC001486,ACC000394,1,894.81,894.81,894.81,0,0,0.0,2025-01-06 10:49:05,2025-01-06 10:49:05
ACC000181,ACC001038,1,245.03,245.03,245.03,0,0,0.0,2025-01-06 10:49:34,2025-01-06 10:49:34
ACC001397,ACC000363,1,45076.59,45076.59,45076.59,0,0,0.0,2025-01-06 10:50:00,2025-01-06 10:50:00
ACC000506,ACC000877,1,4260.0,4260.0,4260.0,0,0,0.0,2025-01-06 10:51:38,2025-01-06 10:51:38
ACC000414,ACC000161,1,1040.0,1040.0,1040.0,0,0,0.0,2025-01-06 10:53:12,2025-01-06 10:53:12
ACC000793,ACC001494,3,26760.04,8920.01,15653.61,0,0,3.191,2025-01-06 10:53:13,2025-01-09 15:28:35
ACC001268,ACC001254,3,649048.07,216349.36,256000.0,0,0,21.147,2025-01-06 10:54:32,2025-01-27 14:26:32
ACC001127,ACC000747,1,2591.03,2591.03,2591.03,0,0,0.0,2025-01-06 10:55:03,2025-01-06 10:55:03
ACC000145,ACC001277,1,59000.0,59000.0,59000.0,0,0,0.0,2025-01-06 10:55:04,2025-01-06 10:55:04
ACC001342,ACC001254,1,240.58,240.58,240.58,0,0,0.0,2025-01-06 10:55:09,2025-01-06 10:55:09
ACC001143,ACC000500,1,1590.38,1590.38,1590.38,0,0,0.0,2025-01-06 10:55:33,2025-01-06 10:55:33
ACC001010,ACC000673,13,34121.59,2624.74,6511.81,0,0,23.093,2025-01-06 10:56:04,2025-01-29 13:10:03
ACC000222,ACC001062,1,860.62,860.62,860.62,0,0,0.0,2025-01-06 10:58:27,2025-01-06 10:58:27
ACC000150,ACC000436,6,155245.62,25874.27,103076.79,0,0,16.961,2025-01-06 10:58:45,2025-01-23 10:02:14
ACC000635,ACC000514,1,1100.0,1100.0,1100.0,0,0,0.0,2025-01-06 10:59:14,2025-01-06 10:59:14
ACC000933,ACC001387,6,1378420.02,229736.67,720759.93,0,0,23.236,2025-01-06 10:59:34,2025-01-29 16:39:08
ACC000080,ACC001407,1,11700.41,11700.41,11700.41,0,0,0.0,2025-01-06 10:59:43,2025-01-06 10:59:43
ACC000539,ACC000673,1,9746.07,9746.07,9746.07,0,0,0.0,2025-01-06 11:00:24,2025-01-06 11:00:24
ACC000656,ACC001369,7,2800092.81,400013.26,1540450.29,0,0,23.173,2025-01-06 11:01:47,2025-01-29 15:10:13
ACC001174,ACC001328,4,21932.92,5483.23,6683.88,0,0,24.375,2025-01-06 11:01:50,2025-01-30 20:01:41
ACC000050,ACC000691,2,13241.35,6620.68,7400.0,0,0,19.866,2025-01-06 11:01:57,2025-01-26 07:48:23
ACC000502,ACC001072,2,5528.89,2764.44,3810.39,0,0,6.998,2025-01-06 11:03:31,2025-01-13 11:00:02
ACC001239,ACC001271,1,119099.15,119099.15,119099.15,0,0,0.0,2025-01-06 11:04:34,2025-01-06 11:04:34
ACC000283,ACC000900,1,16413.66,16413.66,16413.66,0,0,0.0,2025-01-06 11:06:00,2025-01-06 11:06:00
ACC001254,ACC000168,1,477.64,477.64,477.64,0,0,0.0,2025-01-06 11:06:20,2025-01-06 11:06:20
ACC000542,ACC000763,1,7513.52,7513.52,7513.52,0,0,0.0,2025-01-06 11:08:13,2025-01-06 11:08:13
ACC000067,ACC001407,2,12541185.98,6270592.99,12451443.85,0,0,16.895,2025-01-06 11:08:53,2025-01-23 08:37:52
ACC001395,ACC000960,1,85000.0,85000.0,85000.0,0,0,0.0,2025-01-06 11:10:13,2025-01-06 11:10:13
ACC000887,ACC000042,3,9263.79,3087.93,6800.0,0,0,9.08,2025-01-06 11:10:17,2025-01-15 13:05:03
ACC000667,ACC000208,10,1057985.31,105798.53,823965.82,0,0,23.149,2025-01-06 11:11:23,2025-01-29 14:45:31
ACC000095,ACC001276,1,4124.55,4124.55,4124.55,0,0,0.0,2025-01-06 11:12:32,2025-01-06 11:12:32
ACC000114,ACC000944,1,1230.0,1230.0,1230.0,0,0,0.0,2025-01-06 11:13:50,2025-01-06 11:13:50
ACC001186,ACC001466,4,39062.49,9765.62,30494.35,0,0,22.434,2025-01-06 11:14:06,2025-01-28 21:39:04
ACC001208,ACC000523,1,17500.0,17500.0,17500.0,0,0,0.0,2025-01-06 11:14:26,2025-01-06 11:14:26
ACC000564,ACC001032,5,176492.4,35298.48,67652.76,0,0,12.926,2025-01-06 11:15:34,2025-01-19 09:29:00
ACC000421,ACC000905,3,85539.96,28513.32,56698.5,0,0,12.179,2025-01-06 11:15:45,2025-01-18 15:33:33
ACC000646,ACC001358,1,2200.0,2200.0,2200.0,0,0,0.0,2025-01-06 11:16:09,2025-01-06 11:16:09
ACC000083,ACC000226,1,12693.11,12693.11,12693.11,0,0,0.0,2025-01-06 11:17:03,2025-01-06 11:17:03
ACC001063,ACC001228,2,9882.42,4941.21,7868.8,0,0,14.038,2025-01-06 11:17:14,2025-01-20 12:11:15
ACC001395,ACC001322,1,81000.0,81000.0,81000.0,0,0,0.0,2025-01-06 11:18:15,2025-01-06 11:18:15
ACC000232,ACC000384,1,688.06,688.06,688.06,0,0,0.0,2025-01-06 11:18:26,2025-01-06 11:18:26
ACC000597,ACC000239,4,39924.4,9981.1,21500.0,0,0,20.092,2025-01-06 11:18:49,2025-01-26 13:31:04
ACC000145,ACC000766,2,384752.68,192376.34,378154.85,0,0,7.219,2025-01-06 11:20:51,2025-01-13 16:36:03
ACC000966,ACC000673,5,315634.63,63126.93,112121.75,0,0,13.182,2025-01-06 11:22:27,2025-01-19 15:45:10
ACC000408,ACC001387,1,4546.32,4546.32,4546.32,0,0,0.0,2025-01-06 11:24:17,2025-01-06 11:24:17
ACC000912,ACC000172,1,790.0,790.0,790.0,0,0,0.0,2025-01-06 11:26:06,2025-01-06 11:26:06
ACC000033,ACC000523,1,72.48,72.48,72.48,0,0,0.0,2025-01-06 11:26:27,2025-01-06 11:26:27
ACC000810,ACC000170,1,692.17,692.17,692.17,0,0,0.0,2025-01-06 11:26:38,2025-01-06 11:26:38
ACC000290,ACC001112,8,1364141.28,170517.66,670002.42,0,0,24.328,2025-01-06 11:26:42,2025-01-30 19:19:23
ACC001267,ACC001277,3,14002.26,4667.42,6021.72,0,0,8.659,2025-01-06 11:27:06,2025-01-15 03:15:26
ACC001259,ACC001284,1,67000.0,67000.0,67000.0,0,0,0.0,2025-01-06 11:27:21,2025-01-06 11:27:21
ACC001032,ACC000384,1,123981.05,123981.05,123981.05,0,0,0.0,2025-01-06 11:27:30,2025-01-06 11:27:30
ACC001292,ACC000224,1,66000.0,66000.0,66000.0,0,0,0.0,2025-01-06 11:27:30,2025-01-06 11:27:30
ACC000403,ACC001477,2,1092.07,546.04,712.07,0,0,15.204,2025-01-06 11:29:07,2025-01-21 16:22:26
ACC001148,ACC000279,1,366000.0,366000.0,366000.0,0,0,0.0,2025-01-06 11:29:14,2025-01-06 11:29:14
ACC000649,ACC000291,2,137359.96,68679.98,128000.0,0,0,2.973,2025-01-06 11:30:47,2025-01-09 10:52:27
ACC001380,ACC000367,1,920.0,920.0,920.0,0,0,0.0,2025-01-06 11:31:48,2025-01-06 11:31:48
ACC001328,ACC001038,2,823.63,411.82,436.49,0,0,4.15,2025-01-06 11:32:11,2025-01-10 15:07:31
ACC000280,ACC000722,1,2101.87,2101.87,2101.87,0,0,0.0,2025-01-06 11:32:30,2025-01-06 11:32:30
ACC000424,ACC000591,1,151000.0,151000.0,151000.0,0,0,0.0,2025-01-06 11:33:11,2025-01-06 11:33:11
ACC000027,ACC000114,4,17106.82,4276.7,7919.65,0,0,23.072,2025-01-06 11:33:24,2025-01-29 13:17:06
ACC001098,ACC000352,16,67407.77,4212.99,24586.97,0,0,23.91,2025-01-06 11:33:53,2025-01-30 09:24:02
ACC001221,ACC001387,6,25750.0,4291.67,8526.09,0,0,22.14,2025-01-06 11:36:05,2025-01-28 14:57:52
ACC000713,ACC001218,5,9339.42,1867.88,3945.35,0,0,16.966,2025-01-06 11:36:42,2025-01-23 10:48:07
ACC000673,ACC001498,12,29724021.5,2477001.79,9743810.02,0,0,24.109,2025-01-06 11:37:40,2025-01-30 14:14:04
ACC001142,ACC000944,1,2914.03,2914.03,2914.03,0,0,0.0,2025-01-06 11:38:34,2025-01-06 11:38:34
ACC001241,ACC000291,1,2491.97,2491.97,2491.97,0,0,0.0,2025-01-06 11:38:51,2025-01-06 11:38:51
ACC000027,ACC001235,7,23823.1,3403.3,7579.59,0,0,20.855,2025-01-06 11:39:49,2025-01-27 08:10:42
ACC000182,ACC000164,4,93686.11,23421.53,35800.0,0,0,13.984,2025-01-06 11:40:52,2025-01-20 11:17:47
ACC001261,ACC000151,1,1926.16,1926.16,1926.16,0,0,0.0,2025-01-06 11:41:02,2025-01-06 11:41:02
ACC000816,ACC000533,1,492.48,492.48,492.48,0,0,0.0,2025-01-06 11:41:15,2025-01-06 11:41:15
ACC000143,ACC000832,1,81749.58,81749.58,81749.58,0,0,0.0,2025-01-06 11:41:43,2025-01-06 11:41:43
ACC000469,ACC000462,1,8680.28,8680.28,8680.28,0,0,0.0,2025-01-06 11:42:01,2025-01-06 11:42:01
ACC000338,ACC001286,2,3292815.08,1646407.54,2333903.21,0,0,2.289,2025-01-06 11:42:16,2025-01-08 18:38:31
ACC000512,ACC000397,1,451.81,451.81,451.81,0,0,0.0,2025-01-06 11:43:25,2025-01-06 11:43:25
ACC000117,ACC001084,3,110859.43,36953.14,86000.0,0,0,19.101,2025-01-06 11:44:25,2025-01-25 14:09:27
ACC001148,ACC001271,1,33892.31,33892.31,33892.31,0,0,0.0,2025-01-06 11:44:40,2025-01-06 11:44:40
ACC001068,ACC000426,2,4960.82,2480.41,2500.82,0,0,19.607,2025-01-06 11:45:07,2025-01-26 02:19:34
ACC001197,ACC000967,6,6226301.29,1037716.88,4517000.39,0,0,17.0,2025-01-06 11:45:11,2025-01-23 11:45:46
ACC000717,ACC000963,1,300.0,300.0,300.0,0,0,0.0,2025-01-06 11:46:02,2025-01-06 11:46:02
ACC000290,ACC000432,4,606838.52,151709.63,513886.85,0,0,23.05,2025-01-06 11:46:07,2025-01-29 12:57:43
ACC000760,ACC001493,1,4650.0,4650.0,4650.0,0,0,0.0,2025-01-06 11:46:17,2025-01-06 11:46:17
ACC000145,ACC000127,1,118000.0,118000.0,118000.0,0,0,0.0,2025-01-06 11:47:15,2025-01-06 11:47:15
ACC000295,ACC001018,2,3552.42,1776.21,2090.0,0,0,12.312,2025-01-06 11:49:13,2025-01-18 19:17:50
ACC000518,ACC001494,1,1025.1,1025.1,1025.1,0,0,0.0,2025-01-06 11:49:31,2025-01-06 11:49:31
ACC001174,ACC000036,1,540.0,540.0,540.0,0,0,0.0,2025-01-06 11:52:11,2025-01-06 11:52:11
ACC001157,ACC001178,1,15300.0,15300.0,15300.0,0,0,0.0,2025-01-06 11:52:34,2025-01-06 11:52:34
ACC000905,ACC000003,1,52275.53,52275.53,52275.53,0,0,0.0,2025-01-06 11:52:42,2025-01-06 11:52:42
ACC000187,ACC001318,1,60000.0,60000.0,60000.0,0,0,0.0,2025-01-06 11:53:00,2025-01-06 11:53:00
ACC000200,ACC001485,1,5900.0,5900.0,5900.0,0,0,0.0,2025-01-06 11:53:11,2025-01-06 11:53:11
ACC001101,ACC000686,1,5283.13,5283.13,5283.13,0,0,0.0,2025-01-06 11:53:27,2025-01-06 11:53:27
ACC001473,ACC001320,3,25280.73,8426.91,23020.73,0,0,3.05,2025-01-06 11:53:28,2025-01-09 13:06:11
ACC000078,ACC001444,1,273000.0,273000.0,273000.0,0,0,0.0,2025-01-06 11:53:46,2025-01-06 11:53:46
ACC000906,ACC000346,1,10200.0,10200.0,10200.0,0,0,0.0,2025-01-06 11:53:55,2025-01-06 11:53:55
ACC000849,ACC001300,1,14140.12,14140.12,14140.12,0,0,0.0,2025-01-06 11:54:00,2025-01-06 11:54:00
ACC001187,ACC001485,3,172900.71,57633.57,89000.0,0,0,21.898,2025-01-06 11:54:01,2025-01-28 09:27:14
ACC000840,ACC000164,2,187633.2,93816.6,180000.0,0,0,7.908,2025-01-06 11:55:25,2025-01-14 09:42:43
ACC000958,ACC000963,1,157000.0,157000.0,157000.0,0,0,0.0,2025-01-06 11:55:26,2025-01-06 11:55:26
ACC000230,ACC001291,1,61000.0,61000.0,61000.0,0,0,0.0,2025-01-06 11:55:27,2025-01-06 11:55:27
ACC000370,ACC000518,2,2516925.43,1258462.71,2227629.76,0,0,19.252,2025-01-06 11:55:30,2025-01-25 17:57:40
ACC000184,ACC000038,11,470970.59,42815.51,177411.88,0,0,23.234,2025-01-06 11:59:51,2025-01-29 17:37:01
ACC001229,ACC000926,8,1964387.67,245548.46,1214814.18,0,0,23.023,2025-01-06 12:04:34,2025-01-29 12:37:03
